"filename", "language", "Markdown", "TypeScript", "JSON", "JSON with Comments", "Python", "vue", "HTML", "XML", "PostCSS", "comment", "blank", "total"
"e:\-bishe\Blockchain-MPC\AIChat_API接口说明.md", "Markdown", -231, 0, 0, 0, 0, 0, 0, 0, 0, 0, -71, -302
"e:\-bishe\Blockchain-MPC\API接口总说明.md", "Markdown", 630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 810
"e:\-bishe\Blockchain-MPC\Auth_API接口说明.md", "Markdown", -192, 0, 0, 0, 0, 0, 0, 0, 0, 0, -56, -248
"e:\-bishe\Blockchain-MPC\DAO治理页面技术设计与接口文档.md", "Markdown", -634, 0, 0, 0, 0, 0, 0, 0, 0, 0, -214, -848
"e:\-bishe\Blockchain-MPC\app\api\dao_proposal.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"e:\-bishe\Blockchain-MPC\app\main.py", "Python", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"e:\-bishe\Blockchain-MPC\app\models\dao_proposal.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"e:\-bishe\Blockchain-MPC\app\services\dao_proposal_service.py", "Python", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"e:\-bishe\Blockchain-MPC\configs\gitee_config.py", "Python", 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 8, 38
"e:\-bishe\Blockchain-MPC\frontend\.oxlintrc.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"e:\-bishe\Blockchain-MPC\frontend\.prettierrc.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\-bishe\Blockchain-MPC\frontend\README.md", "Markdown", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 49
"e:\-bishe\Blockchain-MPC\frontend\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"e:\-bishe\Blockchain-MPC\frontend\eslint.config.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 7, 27
"e:\-bishe\Blockchain-MPC\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"e:\-bishe\Blockchain-MPC\frontend\package-lock.json", "JSON", 0, 0, 5634, 0, 0, 0, 0, 0, 0, 0, 1, 5635
"e:\-bishe\Blockchain-MPC\frontend\package.json", "JSON", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 1, 49
"e:\-bishe\Blockchain-MPC\frontend\public\chainpilot.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"e:\-bishe\Blockchain-MPC\frontend\src\App.vue", "vue", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"e:\-bishe\Blockchain-MPC\frontend\src\api\client.ts", "TypeScript", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 12, 113
"e:\-bishe\Blockchain-MPC\frontend\src\assets\base.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 71, 2, 14, 87
"e:\-bishe\Blockchain-MPC\frontend\src\assets\chainpilot-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"e:\-bishe\Blockchain-MPC\frontend\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"e:\-bishe\Blockchain-MPC\frontend\src\assets\main.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 390, 0, 21, 411
"e:\-bishe\Blockchain-MPC\frontend\src\components\HelloWorld.vue", "vue", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 6, 42
"e:\-bishe\Blockchain-MPC\frontend\src\components\TheWelcome.vue", "vue", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 14, 96
"e:\-bishe\Blockchain-MPC\frontend\src\components\WelcomeItem.vue", "vue", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 12, 88
"e:\-bishe\Blockchain-MPC\frontend\src\components\icons\IconCommunity.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"e:\-bishe\Blockchain-MPC\frontend\src\components\icons\IconDocumentation.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"e:\-bishe\Blockchain-MPC\frontend\src\components\icons\IconEcosystem.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"e:\-bishe\Blockchain-MPC\frontend\src\components\icons\IconSupport.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"e:\-bishe\Blockchain-MPC\frontend\src\components\icons\IconTooling.vue", "vue", 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 1, 20
"e:\-bishe\Blockchain-MPC\frontend\src\layouts\MainLayout.vue", "vue", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 7, 42
"e:\-bishe\Blockchain-MPC\frontend\src\main.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"e:\-bishe\Blockchain-MPC\frontend\src\router\index.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"e:\-bishe\Blockchain-MPC\frontend\src\stores\auth.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 9, 51
"e:\-bishe\Blockchain-MPC\frontend\src\stores\counter.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"e:\-bishe\Blockchain-MPC\frontend\src\types\api.ts", "TypeScript", 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 28, 229
"e:\-bishe\Blockchain-MPC\frontend\src\utils.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"e:\-bishe\Blockchain-MPC\frontend\src\views\AboutView.vue", "vue", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"e:\-bishe\Blockchain-MPC\frontend\src\views\HomeView.vue", "vue", 0, 0, 0, 0, 0, 574, 0, 0, 0, 0, 41, 615
"e:\-bishe\Blockchain-MPC\frontend\src\views\assistant\AiAssistantView.vue", "vue", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 15, 157
"e:\-bishe\Blockchain-MPC\frontend\src\views\auth\LoginView.vue", "vue", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 8, 83
"e:\-bishe\Blockchain-MPC\frontend\src\views\governance\GovernanceOverviewView.vue", "vue", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 6, 67
"e:\-bishe\Blockchain-MPC\frontend\src\views\governance\ProposalDetailView.vue", "vue", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 9, 85
"e:\-bishe\Blockchain-MPC\frontend\src\views\governance\ProposalListView.vue", "vue", 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 18, 187
"e:\-bishe\Blockchain-MPC\frontend\src\views\tokens\TokenDetailView.vue", "vue", 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 21, 252
"e:\-bishe\Blockchain-MPC\frontend\src\views\tokens\TokenOverviewView.vue", "vue", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 9, 81
"e:\-bishe\Blockchain-MPC\frontend\tsconfig.app.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 3, 19
"e:\-bishe\Blockchain-MPC\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"e:\-bishe\Blockchain-MPC\frontend\tsconfig.node.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 4, 28
"e:\-bishe\Blockchain-MPC\frontend\vite.config.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"Total", "-", -396, 469, 5727, 11, 53, 1701, 13, 35, 461, 20, 173, 8267